work_year,job_title,salary_in_usd,company_size
2024,Data Analyst,125000,M
2024,Data Scientist,150000,M
2024,Data Scientist,110000,M
2024,Data Analyst,245400,M
2024,Data Analyst,135800,M
2024,Business Intelligence,200000,M
2024,Business Intelligence,175000,M
2024,Applied Scientist,249700,M
2024,Applied Scientist,156300,M
2024,Data Architect,190000,M
2024,Data Architect,140000,M
2024,Machine Learning Engineer,370000,M
2024,Machine Learning Engineer,220000,M
2024,Data Engineer,38888,M
2024,Data Engineer,30000,M
2024,Machine Learning Engineer,280000,M
2024,Machine Learning Engineer,184000,M
2024,Data Analyst,174000,M
2024,Data Analyst,132000,M
2024,Analytics Engineer,720000,M
2024,Analytics Engineer,170000,M
2024,Machine Learning Engineer,200000,M
2024,Machine Learning Engineer,160000,M
2024,Data Scientist,150000,M
2024,Data Scientist,111000,M
2024,Machine Learning Engineer,280000,M
2024,Machine Learning Engineer,184000,M
2024,Machine Learning Engineer,302900,M
2024,Machine Learning Engineer,302900,M
2024,Data Engineer,179500,M
2024,Data Engineer,149500,M
2024,Data Architect,238000,M
2024,Data Architect,149000,M
2024,Data Scientist,190000,M
2024,Data Scientist,148000,M
2024,Data Modeler,162225,M
2024,Data Modeler,139050,M
2024,Data Engineer,190000,M
2024,Data Engineer,105301,M
2024,Data Scientist,180000,M
2024,Data Scientist,139000,M
2024,Data Analyst,62500,M
2024,Data Analyst,55000,M
2024,Machine Learning Engineer,252000,M
2024,Machine Learning Engineer,168000,M
2024,Data Engineer,85000,M
2024,Data Engineer,74880,M
2024,Machine Learning Engineer,260000,M
2024,Machine Learning Engineer,160000,M
2024,Data Engineer,190000,M
2024,Data Engineer,150000,M
2024,Research Engineer,234000,M
2024,Research Engineer,176000,M
2024,Data Engineer,125000,M
2024,Data Engineer,100000,M
2024,ML Engineer,155000,M
2024,ML Engineer,100000,M
2024,Data Analyst,170000,M
2024,Data Analyst,130000,M
2024,Data Engineer,184000,M
2024,Data Engineer,123000,M
2024,Data Modeler,140000,M
2024,Data Modeler,130000,M
2024,Data Scientist,159550,M
2024,Data Scientist,113000,M
2024,Data Scientist,222300,M
2024,Data Scientist,119700,M
2024,ML Engineer,120000,M
2024,ML Engineer,75000,M
2024,AI Scientist,166000,M
2024,AI Scientist,110781,M
2024,Data Scientist,121500,M
2024,Data Scientist,88200,M
2024,Data Science,63162,M
2024,Data Science,37154,M
2024,Data Scientist,195800,M
2024,Data Scientist,161900,M
2024,Data Analyst,142166,M
2024,Data Analyst,88854,M
2024,Business Intelligence Developer,137000,M
2024,Business Intelligence Developer,60400,M
2024,Data Architect,178090,M
2024,Data Architect,92118,M
2024,Head of Data,257500,M
2024,Head of Data,190000,M
2024,AI Engineer,176000,M
2024,AI Engineer,106500,M
2024,Business Intelligence,125500,M
2024,Business Intelligence,78000,M
2024,Data Engineer,200000,M
2024,Data Engineer,96000,M
2024,Business Intelligence Analyst,192500,M
2024,Business Intelligence Analyst,140000,M
2024,Data Engineer,220000,M
2024,Data Engineer,96600,M
2024,Data Engineer,195500,M
2024,Data Engineer,117300,M
2024,Data Engineer,156000,M
2024,Data Engineer,124000,M
2024,Data Architect,178090,M
2024,Data Architect,81978,M
2024,Data Engineer,142500,M
2024,Data Engineer,90000,M
2024,Data Engineer,171210,M
2024,Data Engineer,92190,M
2024,Data Architect,74276,M
2024,Data Architect,60437,M
2024,Machine Learning Developer,125000,M
2024,Machine Learning Developer,90000,M
2024,Data Scientist,176000,M
2024,Data Scientist,72700,M
2024,Data Engineer,132600,M
2024,Data Engineer,80845,M
2024,Data Engineer,250000,M
2024,Data Engineer,150000,M
2024,Data Management Specialist,79000,M
2024,Data Management Specialist,72000,M
2024,Data Scientist,230800,M
2024,Data Scientist,96200,M
2024,Data Scientist,187415,M
2024,Data Scientist,114080,M
2024,Business Intelligence Lead,187415,M
2024,Business Intelligence Lead,114080,M
2024,Data Engineer,277000,M
2024,Data Engineer,173000,M
2024,Data Engineer,175000,M
2024,Data Engineer,117000,M
2024,Data Architect,193000,M
2024,Data Architect,84600,M
2024,AI Engineer,220000,M
2024,AI Engineer,96600,M
2024,Data Analyst,170000,M
2024,Data Analyst,130000,M
2024,Data Scientist,172000,M
2024,Data Scientist,75600,M
2024,Machine Learning Scientist,201000,M
2024,Machine Learning Scientist,125500,M
2024,Business Intelligence Analyst,187000,M
2024,Business Intelligence Analyst,117000,M
2024,Data Analyst,61700,M
2024,Data Analyst,55000,M
2024,Data Engineer,56250,M
2024,Data Engineer,43750,M
2024,Data Science,292300,M
2024,Data Science,149700,M
2024,Business Intelligence Engineer,165600,L
2024,Business Intelligence Engineer,65800,L
2024,Data Engineer,148000,M
2024,Data Engineer,118000,M
2024,Data Scientist,62500,M
2024,Data Scientist,62500,M
2024,ML Engineer,252000,M
2024,ML Engineer,168000,M
2024,Data Engineer,149076,M
2024,Data Engineer,82365,M
2024,Data Engineer,160000,M
2024,Data Engineer,120000,M
2024,Data Engineer,160000,M
2024,Data Engineer,115000,M
2024,Data Engineer,193000,M
2024,Data Engineer,128000,M
2024,ML Engineer,220000,M
2024,ML Engineer,170000,M
2024,Machine Learning Engineer,189000,M
2024,Machine Learning Engineer,136000,M
2024,Business Intelligence Engineer,185000,L
2024,Business Intelligence Engineer,79600,L
2024,Applied Scientist,210000,M
2024,Applied Scientist,160000,M
2024,Data Science,200000,M
2024,Data Science,160000,M
2024,Machine Learning Engineer,150000,M
2024,Machine Learning Engineer,90000,M
2024,Machine Learning Engineer,208200,M
2024,Machine Learning Engineer,124900,M
2024,Data Engineer,150000,M
2024,Data Engineer,130000,M
2024,Machine Learning Engineer,189000,M
2024,Machine Learning Engineer,160000,M
2024,Data Engineer,255475,M
2024,Data Engineer,185800,M
2024,Data Engineer,220000,M
2024,Data Engineer,170000,M
2024,Machine Learning Engineer,220000,M
2024,Machine Learning Engineer,170000,M
2024,Data Analyst,113800,M
2024,Data Analyst,74400,M
2024,Machine Learning Engineer,260000,M
2024,Data Scientist,180000,M
2024,Data Scientist,140000,M
2024,Business Intelligence Engineer,108500,M
2024,Business Intelligence Engineer,78800,M
2024,Machine Learning Engineer,252000,M
2024,Machine Learning Engineer,181000,M
2024,Data Scientist,301126,M
2024,Data Scientist,210788,M
2024,Data Analyst,20000,M
2024,Data Analyst,147500,M
2024,Data Analyst,85000,M
2024,Data Architect,175000,M
2024,Data Architect,117000,M
2024,Data Analyst,102927,M
2024,Data Analyst,95010,M
2024,Business Intelligence Analyst,157400,M
2024,Business Intelligence Analyst,98600,M
2024,Data Analyst,83000,M
2024,Data Analyst,64000,M
2024,Data Engineer,200000,M
2024,Data Engineer,90000,M
2024,ML Engineer,250000,M
2024,ML Engineer,190000,M
2024,ML Engineer,258750,M
2024,ML Engineer,191250,M
2024,ML Engineer,177100,M
